review,sentiment
@Cheesequeen324 @dialoglk Lol download speed 100kbps deewi unlimited deela ?Ÿ˜‚,negative
"Hi 
@dialoglk
 , Appreciate ur fucking cx service as there is a billing complaint pending nearly 3 months, talked to 8 cx agent, but all said same thing every day, still not fixed the issue. Shame on your cx service. One VAS service disabled but it is billing more than 2yr. #dialoglk",neutral
The fastest telecom experience. Their services have improved a lot. Recognizing loyal customers. Excellent service. Extremely satisfied.,positive
Customer service is perfect. One of the best telecommunications comapanies in Asia.,positive
Thank you for solving my network issue.,positive
@dialoglk Can you guys add Twitter to your unlimited social media packages? Many people will surely use the package,negative
loading speed is great in this you tube package ,positive
Really poor service,negative
they do the fair support for all the packages,positive
"Bad... Very BAD
If you can develop this building as a SKYSCRAPER ?? that’s fine.. But you will definitely need work on that “ hospitality “ part. I don’t think you guys will never know it ????..  Please do the hospitality part first of all.",negative
no problems at all this is very fast ,positive
"Exceptional service, comfortable atmosphere",positive
"Dialog is one of the best service phone places out here there customer service is great and welling to help you with any problem that you may have on seller device.
",positive
"Dialog has found a way to fake the https://t.co/Ea8VrxXDdx results. If you're doing a test through this site, change the server to a different country, you will get the real speed or use https://t.co/vBxgd5jwRf. Thanks @dialoglk for trying to cheat your customers again. @TRCSL",negative
"Payment card info input page doesn't load when I'm connected via Mobitel 4g

@dialoglk https://t.co/SsosqENkKD",negative
@nadun_don @nisalatp @Huawei @dialoglk @Airtel @hnbplc You didn't get his point Nadun. All the models you mention comes with GMS pre loaded hence all the data becomes more centralized and it becomes easy for big tech to analyse the usage.,negative
Staff at @dialoglk  told me that my complaint was one of many they have to deal with! Like wtf? #dialoglk Do i care?,negative
The MyDialog app gives a very transparent view of your connections with Dialog as a very efficient platforms to manage your connections.,positive
" Every time I get contact with customer service I’m on the phone with them for at least an hour even then, my problem is never resolved.",negative
"Everytime I have an issue, which is rare, it is resolved quickly and professionally.",positive
Best place near to nawala for your Dialog services. Interesting office and friendly and quick service. I went for handover my 4G router. Within 15 minutes I could do that. Parking also available.,positive
Good customer care,positive
its easy to do my business with this network connectivity,positive
fun blaster package is first class,positive
"ravinhwg @Huawei @dialoglk @Airtel @hnbplc In a moden world, with everything is connected and digital, privacy is an illusion. You can't prevent your data is being collected. You can't prevent that. Your effort on prileventing others collect your data is just a waste.
What you can do, however is information fragmentation",negative
thank you dialog love your service,positive
"@dialoglk ; complaints are ignored as usual. 

Please get your act together. ?Ÿ˜’ https://t.co/6N8jLJdeO9",negative
@mihiHarshana Weâ€™d like to inform you that the optimization is under process as per the complaint. One of our team members will be in touch with you for assistance. ^Rosh,negative
"@optimuspnj @dialoglk i see back in class our it sir (als -Nirosha de silva) showed  us the cloud platform his company has  bougth the network speed had similar stats back then ,with upload speed as well.",negative
"Warranty is hideous. Based on a 6 month iPhone X hardware failure (purchased at this store), we are asked to wait 3 months to get a replacement.
How does that make any sense? Apple warranty states any hardware failure automatically issues a brand new replacement device",negative
New design router is smart and capable.,positive
@Spidernavii @dialoglk That bitch is so annoying ?Ÿ˜è,negative
Their work and learn package is useless. Waste of money. Why you are cheating customers. Doesn't even load outlook.,negative
"What is wrong with you @dialoglk? Not only is your connectivity bad, you're also massive cheats. https://t.co/UiflcuZyQm",negative
broad band 4G connection is good ,positive
"why is it me always??Why do dialog always get me involved into trouble and finally I have to fight and get things done.. Such huge multinational company working so carelessly, highly disappointing loosing trust over this telecommunication company.",negative
it is refreshing to get this level of customer service ,positive
I've never had any serious problems with either mobile or broadband services.,positive
Customer  care service  very poor,negative
Dedicated to resolve problems. Very professional and courteous.,positive
Very good customer service and complaints are handled promptly. You can get a variety of dialog services from this place,positive
Recently introduced spotify package seems good,positive
@RockCityOutlaw @MobitelSriLanka So it's no better than @dialoglk?,positive
Service standards are very low. Proper safety measures were not taken for COVID,negative
Rs.199 data package is better than I thought,positive
"@Buddhikamn @dialoglk Yeah they clearly have an issue with the infrastructure, but they donâ€™t want to accept that and donâ€™t want to tell customers the truth.",negative
"dialoglk I have a Dialog mobile (iPhone). I can use the phone in Sri Lanka, but I cannot call Sri Lanka from the U.S., where I am at present. Anyone have the same problem? @dialoglk can you please help? Thanks.",negative
@AnjulaHettige @Seductv @dialoglk @TRCSL Yep I always change the server to a distant country rather one in same country Thats the true test of #Ping &amp; #Speed,negative
"Now the customer care is bad. Not as good as before. Not friendly. And they focus on taking some money somehow, not to solve the issue. Very much disappointed.",negative
very satisfied with everything,positive
@dialoglk Still no technician arrived. More than a day since he called and said he would be here after lunch time. ?Ÿ?·?Ÿè?â€çâ™‚ï¸è?Ÿ?·?Ÿè?â€çâ™‚ï¸è,negative
Says on the board and on net open till 7 pm however security at the gate on the road advise that closed at 3 pm now.,negative
Genie payment gateway is very secured than other existing payment gateways,positive
"@dialoglk If you can't check that and let me know, FYI, I lodged the complaint on 3rd March and asked to send reminders 3 times since I did not receive any response from @dialoglk.",negative
"@dialoglk totally fedup with your poor connection and slow, unprofessional support even I lodged the compliant.
All my today's Zoom sessions got cancelled because of this irresponsible network.

#dialog #TRCSL #telecommunication #lka https://t.co/0wF502TVFS",negative
Dialog Axiata is such a den of thieves including their CEO.,negative
@dialoglk Anyone watching the match in YouTube,positive
Received the service just as I expected. Very good,positive
"@tikirimaarie @dialoglk Ah, mage late night echcharama case ekak na. Was 50-60Mbps before. Now like 30Mbps",negative
Top class service. They delivered everything they promised. Installed on time and the broadband speed delivered is as advertised.,positive
Who else thinks that stupid dialog radio ad for avurudu is insanely annoying. I actually change stations if i can help it!!! ouch! #dialoglk,negative
@optimuspnj @dialoglk have tried working in cloud platforms with remote desktop,negative
I had problems with my internet being connected in my new home so I called customer care and spoken to a lovely woman who sorted my problem out and I even got free data on my contact I had with them! They were very apologetic and sorted the problem out straight away! I would highly recommend! Well done to the customer service team especially in the current circumstances!,positive
"@dialoglk Thanks, but I think pogo provides 4 languages to chose and allows to change the language. And i have used to change the language from different service providers previously. However no point of kids watching the channel in Hindi language",negative
"Dialog‘s fiber internet provides excellent and reliable speed (as long as your neighbor doesn’t accidentally mow over the fiber line before it’s buried, lol). Their service has not been affected by any kind of weather (storms, wind, rain, cold temperatures, etc.). We have several children that have been Dialogending school remotely and have not overloaded the service yet. Another benefit of having Dialog internet is complimentary HBO Max—a fantastic perk that really adds value and entertainment to the mix.",positive
Poor customer service and lie a lot,negative
@dialoglk 4G connection speeds are going below 2mbps all the time. So I decided to make a complainet about it. Customer support contacted me within 12 hours to solve this problem (at least). Super happy with the customer support and still waiting for a good internet speed..... https://t.co/goayq2ozbP,negative
@OshadhaG @dialoglk Hhahaha accurate AF.. @dialoglk marketing team sends out notifications that even the company itself doesnâ€™t even know.. what a company to rely on ?Ÿ’¯?Ÿ¥°,negative
"Last night's  #Koombiyomeetup organized by #Koombiyo ?Ÿêœ fans and @dialoglk was just awesome.  It was really fun, insightful and also the food was delicious. ?Ÿ˜‹?Ÿ?—
Thank you Koombiyo team for such a magnificent creation...!!! ?Ÿ™è https://t.co/HqbgcCXGE2",neutral
"We have been using network telecom for nearly two years, it was easy to set up and have had no problems, they helped when our internet went down and directed our phone calls to our mobiles so our cutomers could still contact us, the phones are easy to use and navigate around, we would recomend Network Telecome to others",positive
"I have been with Dialog since I had a telephone in my car... that was 1993. I have great service and a reasonable rate and a 10% discount for working with the State of MD. It is a provider who goes above and beyond to provide the best service! Thank you, Dialog.",positive
An upto date place with all the best facilities.,positive
"wow, i like the new dialog.lk site. when was this launched actually? I must be pretty outdated #dialoglk @dialoglk",positive
"Overcharge every month on mobile phone bill, even though told them multiple times to cap charges and block any excess usage. Extremely bad customer service being transferred to multiple people and still no progress on my complaint on billing overcharges.",negative
thank you dialog for great services ,positive
power friendly and flexible connected products,positive
Lots of love,positive
It would be great if I didn’t have to wait so long to connect to my own wifi router. Please sort yourself out. @dialoglk https://t.co/yx8puQxObV,negative
"Screw you #dialoglk! Why the fudge suddenly it says that my Sim is invalid and no connection?? I kept on trying but no response 
@dialoglk",negative
they willingly do there services for the customers,positive
the best thing I did was choosing dialog as my network provider,positive
"I'm very happy with the service and have been getting the promised sync speed,",positive
Very politely spoken and the requirement was taken immediately for consideration. Thank you.,positive
"Pretty damn good. Great signal all over the Sri Lanka, roaming included. Any issues they sort out quickly. Little bit more expensive than other carriers, but you get what you pay for.",positive
"Now, it's just the brand name. Customers are facing difficulties, data wise, network wise. We see so much of bad comments on social media. I think , the more you grow the more. Professional they should be. It's a global brand and its under AXIATA group. Think before you buy.",negative
@dialoglk Already DMed but no reply ?Ÿ???Ÿè»â€çâ™‚ï¸è,negative
Hey @dialoglk whereâ€™s my broadband?!,neutral
I am very satisfied about the uploading and downloading speed ,positive
Experiencing super broadband speeds with @dialoglk from this afternoon. https://t.co/vpTxDWFKWe #kolonnawa,negative
Quick services ,positive
"@dialoglk  Few years back Dialog TV had no signal when it rains (not sure if itâ€™s still the same coz I had to give up the connection due to this mDialoger )     
Since last week or so, am I the only one who is experiencing â€œnoâ€ù 4G signals during rain ?Ÿ?”",negative
Really convenient customer care during this pandemic time. Vey quick response I mean within a day they visited. Absolutely remarkable.,positive
"@MarianneDavid24 Then, as now, number porting was being blocked and stymied by @dialoglk through their paid minions in the civil service including now ASG and AG Aspirant Sumathi Dharmawardena.",negative
Cheats!!,negative
Worst customer service ever. Providing misleading false information about plans/packages to get business. ,negative
has the best cutomer service ever,positive
"The Dialog's services & staff were great with their internet & cable viewing. Plus, Dialog repair people had installed the cable. Pictures were awesome with a clear picture viewing.",positive
Very good service and Dialogention to customers,positive
Best telecommunication service center,positive
"@dialoglk I not here to blame I just wanted to inform, people blindly buy because of the advertisement that you shows, like #FastestNetwork, just feel sorry for those people including myself. https://t.co/x0BrZqcTdn",negative
"@RegularReh @dialoglk Dialog got the ""how to cheat"" manual from my ex I guess.",negative
very fast and easy to do our day to day works,positive
its super good to have a student package ,positive
"Very unhelpful.they didnt have stocks to replace an unfunctioning wifi unit, they wanted me to go to the Nugegoda branch. There was a discrepancy in the bill value for the TV account. My bill on sms sent by dialog showed arears of amounts close to 2,600 the computer at the dialog showed arears of 5,000 . The agent was unable to answer simple questions and kept blaming the system. The tv was disconnected on the 30th of december and yet a bill has been issued for the month of january for a disconnected service. When asked if the bills can be paid, the agent says he cant accept paymemt untill his system is updated and that we should come back to pay the bills when we get a call from their helpline that will explain the bill discrepancy.
Utter waste of my time!!!!!
They need to educate their staff on the packages,offers and basic functions of the mysterious 'system'",negative
"Howcome #Dialoglk, expects u to accept d ebill but they cant accept a request when it comes from d same email address? Rubbish",negative
Dialog thinks no end of themselves…,negative
Fast and good service,positive
Loved the client service,positive
The worst provider I ever come across in my life. It’s a pain to continue the service and listen to all the nonsense Dialog gives and pay time to time. Worst ever !!!,negative
Very good customer service. Went to nawala branch to buy a new sim and activate old phone line. Only spend 30 minutes. New atmosphere is really good.,positive
@RockCityOutlaw @MobitelSriLanka @dialoglk Oh I thought you switched to Mobitel from Dialog.,negative
"This review is from a Dialog priority customer who has been with dialog more than a decade. Was informed I have won a JBL speaker via their app. When visited their place travelling more than 100Km to collect they say it was mistake. No sms. No call. And not even a apology from the officer HANDLING.FAKE PROMOTIONS FAKE SERVICE. It is time to get rid of Dialog as their customer care is deteriorate day by day
P42 04.04.2019",negative
"Payment card info input page doesn't load when I'm connected via Mobitel 4g

@dialoglk https://t.co/SsosqENkKD",negative
@dialoglk Any update on this issue? No one contacted me yet.,negative
Sent. Hope it will work perfectly fine,positive
@Speedtest result! How fast is your internet? @dialoglk Super Fast! https://t.co/DU1fOUWpbQ #speedtest https://t.co/eR8Ny1f6qc,positive
@AnjulaHettige @dialoglk @TRCSL At this point they aren't faking. The farther the servers are the latency will increase and the speeds will decrease. Closer the servers are the latency will be low and the speeds will increase.,negative
@dialoglk OK great thanks :). Iâ€™ll try it and see then!,positive
"@dialoglk Yes I do. If the decoder will connect via the Internet (over Dialog BB) then thatâ€™s great.

Does it have its own data connection or am I expected to pay for data on top of the connection?",positive
"@dialoglk This looks good but I donâ€™t understand what â€œDTV installation will take placeâ€ù means. I donâ€™t want the dish nor the cable in my house; can this work on Dialog Broadband or not? 

If yes, perfect (and u guys can make that work better for my house next ;-)). If no, no dice for me.",positive
"@dialoglk ""Without Data Charges on Dialog Network up to 432p video qualityâ€ù

Without data charges yes, but 432p? You gotta be kidding me. I want whatever the highest quality you guys can broadcast - HD now but hopefully 4K soon!",negative
"@Buddhikamn @dialoglk Exactly what my theory is, we must get the service that we pay for",positive
"dialoglk Exactly, as a solution they said they'll wave off a % from the bill and reduced around Rs. 250 from the bill like we cannot pay that ?Ÿ˜‚ What we need is not a wave off but uninterrupted internet connection. We can pay the bill and @dialoglk should provide uninterrupted connection",negative
"@Buddhikamn @dialoglk Yeah they clearly have an issue with the infrastructure, but they donâ€™t want to accept that and donâ€™t want to tell customers the truth.",negative
"@ShehanThamel @dialoglk Thanks machan will try that as well. Tired of telling the same issue to @dialoglk a hundred times now. If they cannot resolve the heatwave issue immediately, they should provide temporary mobile routers. Coz as per @dialoglk technical team this issue is only for broadband signals",negative
"@dialoglk Is this really escalated? No one contacted me and I cannot do my work. WTF @dialoglk is doing? No point of blaming the heatwave and if you cannot resolve it immediately, provide a temporary solution like a mobile router, please.",negative
@Buddhikamn @dialoglk Seems like they respond to WhatsApp messages. Give it a try perhaps,positive
@ShehanThamel @dialoglk Same here. Complaining this since March 3rd and no solution yet. Every time @dialoglk says they have escalated my issue. But no one contacted me yet. https://t.co/55QxpAG3Qf,negative
"Congratulations to the SRI LANKA LEGENDS for emerging RUNNERS-UP in the â€˜Road Safety World Seriesâ€™ FINAL. 
A truly legendary performance by our team, all throughout the series! 

#SLLegends #PoweredbyDialog #TrueLegends https://t.co/vFdHAnaH8g",positive
@dialoglk Oky..Tnksâ™¥ï¸è,positive
@saiyaff @dialoglk Data Add On worked 1 hour ago...!,positive
"@dialoglk Now it's working.
And, if you check our DM you can find all these details. That's explains the number of issues you have had in your network?Ÿ˜†",positive
@dialoglk Is someone looking into my issue? This is my current @dialoglk speed. https://t.co/ANcjHNAIHT,negative
can you please show me or instruct me how to connect via a customer service please? by entering what numbers? ?Ÿ™„,positive
@dialoglk do you want me to share the call recorder of my call to how I try to find the way to connect to a customer service and failed? ?Ÿ™„,negative
@dialoglk When? 3021? https://t.co/Df57afbOTs,positive
@dialoglk Showing full bars and 4G but doesnâ€™t work for shit. Sad life using Dialog ?Ÿ˜•?Ÿ˜–,negative
@dialoglk @KumarSanga2 You betrayed them not playing in the SL-L,negative
This is what these #DialogLK cheats responded with ?Ÿ˜¡ https://t.co/5mrRl4vlmJ,negative
"I just saw that my second Dialog number was expired in last December. is it possible to get it back if I reload to that? @dialoglk  try to called you, but customer service is not working. ?Ÿ™„",negative
"My response to @dialoglk saying that my ""SERVICE REQUEST IS CLOSED"" without even contacting me!! I sent it via email https://t.co/5E1IJAmSmS",negative
"How @dialoglk responded to my complaint. Btw when I initially called customer service, they didn't want to give me a complaint reference number!! I had to force their supervisor to lodge the complaint in their system and give me the number!!! #ShitCustomerService https://t.co/KcbYIhKrRX",negative
@tikirimaarie @dialoglk And they still call themselves â€œThe Number 1â€ù ?Ÿ???Ÿè»â€çâ™‚ï¸è?Ÿ???Ÿè»â€çâ™‚ï¸è?Ÿ???Ÿè»â€çâ™‚ï¸è,negative
"@dialoglk sent me this message and once I activated the 99, I didn't receive the 2GB! I contacted customer care and they said I'm not eligible for it??? ?Ÿ˜¡?Ÿ˜¡ I want a complete refund if it's not activated! ITS NOT THE MONEY, ITS THE PRINCIPLE!! #DialogLK cheats! Ref: 2-0002806541 https://t.co/w1vGtN8uCG",negative
@dialoglk @ShehanThamel It's been 3 days since I filed mine and still nothing ?Ÿ˜‚,negative
"Can I have at least 1Mbps @dialoglk ? 
Ps: This is not just today. https://t.co/LOdZYqhmx2",negative
"@dialoglk Hi Shanu, I hope you are not a bot as others. since you asked, can you actually read my tweet and understand that if I have a complaint ref number that means I have already contacted your hotline..??",negative
"@dialoglk Why the f**k am I paying you for this..?? Go ahead and listen to my complaint with ref number 2-0002808395. Please fix your infrastructure, please. or just donâ€™t bloody say youâ€™re the number 1 ?Ÿ?¬?Ÿ?¬?Ÿ?¬ https://t.co/CUfyHhAGMP https://t.co/0Fldvzp1qG",negative
@dialoglk Anyone watching the match in YouTube,neutral
"@dialoglk totally fedup with your poor connection and slow, unprofessional support even I lodged the compliant.
All my today's Zoom sessions got cancelled because of this irresponsible network.

#dialog #TRCSL #telecommunication #lka https://t.co/0wF502TVFS",negative
"@dialoglk is single handedly ruining the Legends final and honestly, I'm not surprised.
#RoadSafetyWorldSeries",negative
"Dialog has found a way to fake the https://t.co/Ea8VrxXDdx results. If you're doing a test through this site, change the server to a different country, you will get the real speed or use https://t.co/vBxgd5jwRf. Thanks @dialoglk for trying to cheat your customers again. @TRCSL",negative
@NisansaDdS Interesting to hear what @dialoglk has to say about this.,positive
@Bunis_Malli @dialoglk Screenshot,neutral
@tikirimaarie @dialoglk Exactly ?Ÿ˜‚?Ÿ˜‚?Ÿ˜‚,neutral
@dialoglk Sent,neutral
@dialoglk The internet keeps dropping for very short periods.  This happened again at 10.15 for a minute at a crucial time of my online lecture. The complaint made on 20th August 2020 (Ref.2-0001807480) is still pending. This is very disappointing.,negative
@AnjulaHettige @dialoglk @TRCSL @dialoglk Market dominance is nothing in this fast moving world. Remember what happened to #nokia. Update and upgrade for the betterment,negative
"Dialog has found a way to fake the https://t.co/Ea8VrxXDdx results. If you're doing a test through this site, change the server to a different country, you will get the real speed or use https://t.co/vBxgd5jwRf. Thanks @dialoglk for trying to cheat your customers again. @TRCSL",negative
@sanjula895 @MobitelSriLanka @dialoglk @HutchSriLanka I see.,neutral
Hey @dialoglk no super rugby on @RugbyPass ?,neutral
"@RockCityOutlaw @MobitelSriLanka It's not just @MobitelSriLanka the whole mobile data system of the country isn't working properly in last few days including @dialoglk @HutchSriLanka 
Hopefully some major update going on ig.",negative
"@AnjulaHettige @dialoglk My favorite excuse from @dialoglk is â€œa lot of people are using dialog, so it gets a little slowâ€ù",negative
@RockCityOutlaw @MobitelSriLanka @dialoglk Oh I thought you switched to Mobitel from Dialog.,negative
@Tikiri_ @MobitelSriLanka @dialoglk I've no idea. I don't use Dialog.,negative
@RockCityOutlaw @MobitelSriLanka So it's no better than @dialoglk?,positive
"@dialoglk Since you ask me to be patient, be patient with the bills also. I will not make any payments if thia countinues, i asked you before billing cycle start, no body contacted me, specifically the network team didnt provide ETA so that i can go for another ISP before the billing start",negative
@dialoglk Every one using @dialoglk network seems to be having connctivity issues and we have terrible issues as we cannot connect to teams calls properly and other networks due to this. From 5th March i have this issue,negative
@dialoglk fix the network for god sake?Ÿ˜??Ÿ˜??Ÿ˜??Ÿ˜?,negative
@AnjulaHettige @dialoglk @TRCSL They must wield enormous power. Political power. Pre 2015 they were giving govt. call info on legit opposition.  Hope no quid pro quo going on.,negative
@dialoglk Will it replace for brand new one or repaired one ? Because my router is customer own,negative
@AnjulaHettige @dialoglk I thought it was for me!! Not even the 144p!! #dead,negative
Hello @dialoglk let me know what will you replaced for customer own 4G router. Brand new or repaired.,negative
"@AnjulaHettige @dialoglk @TRCSL They told me that their servers can't handle the traffic and that's why it's slow.
They never slow the charges down but the internet.
A 30 second YouTube video takes more than 30 seconds to load",negative
@AnjulaHettige @dialoglk @TRCSL Itâ€™s time we switch from dialog. Terrible with both calling and internet ?Ÿ˜©,negative
@dialoglk any issue with the payment process ? this is the third card rejected both on the app and web,negative
@dialoglk reloading online isn't working! https://t.co/x5oZYVv5sE,negative
@dialoglk Already DMed but no reply ?Ÿ???Ÿè»â€çâ™‚ï¸è,negative
@dialoglk @AnjulaHettige Same problem here and it says 4G also?Ÿ˜‚?Ÿ˜‚ https://t.co/iJRz8KInXK,negative
"What the hell @dialoglk 

4th time in this month router internet is not working 

I am continuously facing this problem 

Whatâ€™s happening there???

Donâ€™t you have a permanent solution for this problem???
I never heard that @SriLankaTelecom make any issues like you",negative
@dialoglk Can you keep urgent ticket in â€œin progress â€œ status with that much Of times?,negative
@AnjulaHettige @dialoglk @TRCSL Then fine. Didn't have a pod experience with Dialog since the pendamic,negative
"@frankanderic @dialoglk @TRCSL I use SLT Fibre as well, haven't noticed them doing this. There speeds are very stable across servers",negative
@dialoglk @supunw  This SR raised on 10th and they will promise me to give solution within 48h . After 10 days my question is â€œIs your future is still today ?â€ù https://t.co/T0O8RjbCpk,negative
"@RegularReh @dialoglk Dialog got the ""how to cheat"" manual from my ex I guess.",negative
"Dialog has found a way to fake the https://t.co/Ea8VrxXDdx results. If you're doing a test through this site, change the server to a different country, you will get the real speed or use https://t.co/vBxgd5jwRf. Thanks @dialoglk for trying to cheat your customers again. @TRCSL",negative
"@TRCSL @icta_srilanka do we have any planned time frame for 2G phase out. Our IoT industry still implemnting new solutions around 2G technologies.

@TechKatha @dialoglk @MobitelSriLanka #SriLanka #IoT #2G",negative
@AaqishFaizal @dialoglk @AnjulaHettige Horalog for a reason bro ?Ÿ˜Å,negative
"@dialoglk unsurprisingly, itâ€™s the same info as before.",negative
@AnjulaHettige @dialoglk @TRCSL Isnit only Dialog or even other operators also do the same,negative
"Dialog has found a way to fake the https://t.co/Ea8VrxXDdx results. If you're doing a test through this site, change the server to a different country, you will get the real speed or use https://t.co/vBxgd5jwRf. Thanks @dialoglk for trying to cheat your customers again. @TRCSL",negative
Hey @dialoglk whereâ€™s my broadband?!,neutral
@dialoglk The WiFi is going on and out. Please donâ€™t tell me to DM etc. Iâ€™m in Pitipana. This happened a while back. You said it was fixed. Please fix it,negative
"Dialog has found a way to fake the https://t.co/Ea8VrxXDdx results. If you're doing a test through this site, change the server to a different country, you will get the real speed or use https://t.co/vBxgd5jwRf. Thanks @dialoglk for trying to cheat your customers again. @TRCSL",negative
Hey @dialoglk whereâ€™s my broadband?!,neutral
@AnjulaHettige @munza14 @dialoglk @TRCSL That's how they keep cheating their loyal customers.,negative
"@AnjulaHettige @munza14 @dialoglk @TRCSL Also the WhatsApp, Facebook and YouTube packages speed keeps fluctuating.If they control speed they should let customers know so we have a choice of buying those data packs or to use anytime data.",negative
@dialoglk @GazyHussain1 Isn't it bloody unethical to reveal a number just like that? https://t.co/6oZMEEJAvT,negative
@AnjulaHettige @dialoglk Hutch 3G is faster than Dialog 4G at my place,negative
"@dialoglk Thanks 4 replying @dialoglk, I have zero hope in your service. You all know the bigger issue with d networkâ€™s capacity, infrastructure, etc. So work on that &amp;capacitate d high demand. Trying to blame customers&amp; faking wont get u/me anywhere. Just waiting 4 number swap patiently.",negative
@AnjulaHettige @dialoglk I made a complaint yesterday regarding the poor network services on Twittter and they blamed it on possible incorrect SIM installation. CustomerCare is so bad and top of all so cheap. @dialoglk https://t.co/Mc3UAXTz8C,negative
@Rafih369 @dialoglk @TRCSL I have SLT Fibre. Superb connection; download and upload speeds are always stable in any server. Really good.,negative
@AnjulaHettige @Seductv @dialoglk @TRCSL Yep I always change the server to a distant country rather one in same country Thats the true test of #Ping &amp; #Speed,negative
"Imagine living in 2021 and not being able to watch a 480p YouTube video without buffering. Thanks, @dialoglk.",negative
@AnjulaHettige @dialoglk @TRCSL Number portability should be brought in soon,negative
@AnjulaHettige @dialoglk @TRCSL Hutch seems okay on 4g ?Ÿ˜‚ https://t.co/3GDNbVk6DR,negative
@dialoglk @AnjulaHettige Yako every single person whoâ€™re using your shitty network is having these issues. Do something about it ?Ÿ???Ÿè?â€çâ™‚ï¸è for lies asking connection number. Crap,negative
@RegularReh @dialoglk Yeah. I have seen and experienced the same thing time to time.  But speedtest thing is false.,negative
@PO5IT1VE @dialoglk @TRCSL Yes. It's to do with the Dialog servers. They've optimized it to work really well when speed tests are being down from their connections which is not the speeds in real life. I use Fibre at home and the speeds are accurate irrespective of the server on that.,negative
@ChrishanJay @RegularReh @dialoglk Also refer to the thread here: https://t.co/0LmKQpISco,neutral
#ChrishanJay @RegularReh @dialoglk why too slow,negative
"@ChrishanJay @RegularReh @dialoglk Yes, it does but that is not how speed is supposed to work. Recently they visited my girlfriends house and shown her the speed on Speedtest and blamed the issue on the laptop. 
You can try switching to Hutch's server and see the different.",negative
"@ChrishanJay @dialoglk I have no idea what any of that means ?Ÿ‘€ but Dialogs connectivity does suck ?Ÿ?£ my data doesn't work when I'm downstairs in our house, wifi drops in and out when it wants. It's the worst. 

 @AnjulaHettige",negative
@RegularReh @dialoglk LOL ?Ÿ˜‚ itâ€™s always been like that. In speedtest by default they will select the same network server for testing. Thatâ€™s something from the developers side. Not with Dialog.,negative
"What is wrong with you @dialoglk? Not only is your connectivity bad, you're also massive cheats. https://t.co/oU1r4TvAvJ",negative
"Can I have at least 1Mbps @dialoglk ? Shame shame
Ps: This is not just today. https://t.co/LOdZYqhmx2",negative
Why you do this and disconnect us from you @dialoglk? https://t.co/HZ7Iee5IGL,negative
@rehanumfernando @dialoglk Itâ€™s almost like they donâ€™t want anyone tagging them in negative stuff noh? ?Ÿ˜è,negative
"@nHiRanZ @dialoglk Yes, since long time back.",neutral
Have you noticed that you canâ€™t tag @dialoglk on a Facebook postâ€™s body? ?Ÿ˜è,negative
It took 3 hours and 45 minutes just to download a 2.3GB file.Thankyou @dialoglk for your unbelievable service.?Ÿ™è?Ÿ–•,negative
I was using a fast Internet connection which had unlimited data in a European countryo90. When the prices are converted to LKR I was paying around 1000 Rs per month that time. @TRCSL @ActiveTRCSL @dialoglk @MobitelSriLanka @HutchSriLanka @AirtelSrilanka @SriLankaTelecom https://t.co/nA21pBQemr,negative
@Spidernavii @dialoglk That bitch is so annoying ?Ÿ˜è,negative
#youtubedown no no it's actually @dialoglk 's you tube monthly package down.,negative
"@WhatsApp and @instagram are down for everyone worldwide!

@dialoglk you guys didnâ€™t mess up this time. Good stuff.

#WhatsAppDown #InstagramDown #lka",negative
"Seems like a worldwide issue.... I think @dialoglk got some blame too ?Ÿ˜‚.... hopefully itâ€™s a @ThaRealMarkZ issue

#whatsapp #crash https://t.co/ZRJspuGADB",negative
@shashikaLB @Mahishini @dialoglk Exactly. This is also happening coz only two or three players dominate the broadband industry and hence attention to individual customer is very low. And also @dialoglk doesn't know what customer care is and they should learn it from companies like @amazon,negative
"@dialoglk Really great to here. But i doubt on some thing is happening coz, i raised this issue on 5th march, no body responded. Ticket was opened for 2 weeks. So you should make sure you provide a wave off from the bill, clearly,",negative
@Buddhikamn @Mahishini @dialoglk I think @dialoglk really needs to look at its practices and services - this is a far too common problem. Itâ€™s so debilitating. I feel like their approach so far has been to ignore or offer the same solutions till we give up or the issue temporarily goes away.,negative
"Seems like @dialoglk have everything covered with their data packages.
I think they'll reach pinnacle of data packages when they offers some package for PH usage. ?Ÿ˜‚ https://t.co/MX971oA7t9",negative
@mihiHarshana Weâ€™d like to inform you that the optimization is under process as per the complaint. One of our team members will be in touch with you for assistance. ^Rosh,negative
What hell is going on with dialog broadband @dialoglk ?,negative
"@dialoglk @dialoglk  no one called. Even in the morning i was experincing troubles. Seems like entire network has an issue, coz most my friends have replied to my post in FB telling they have the same issue but @dialoglk  is not responding",negative
dialoglk Nope I don't see any... even if I click on a direct link it just goes to my feed and nothing plays. I'm fedup of this.,negative
"@dialoglk Thanks, but I think pogo provides 4 languages to chose and allows to change the language. And i have used to change the language from different service providers previously. However no point of kids watching the channel in Hindi language",negative
@EnochianQueen @dialoglk Do they give podcasts in premium? Cause I can't find them in free version?Ÿ˜?,negative
Caved in and finally signed up for spotify premium not coz i wanted unlimited skips but coz of @dialoglk 's too long garbage ads. ?Ÿ?®,negative
"@dialoglk I have already DM my connection no several times for the same issue. However, I'll send it again, and please check that ASAP",negative
@dialoglk @TRCSL Can someone from @dialoglk look into this urgently? This is my current internet speed ?Ÿ??â€çâ™‚ï¸è https://t.co/aorAtOKeS8,negative
